year,state,dem_cand,dem_vote,rep_cand,rep_vote,tot_state_vote
1992,South Carolina,"Clinton, Bill",525514,"Bush, George H.W.",577507,1228912
1992,South Dakota,"Clinton, Bill",124888,"Bush, George H.W.",136718,336254
1992,Tennessee,"Clinton, Bill",933521,"Bush, George H.W.",841300,1982638
1992,Texas,"Clinton, Bill",2281815,"Bush, George H.W.",2496071,6154018
1992,Utah,"Clinton, Bill",183429,"Bush, George H.W.",322632,743998
1992,Vermont,"Clinton, Bill",133592,"Bush, George H.W.",88122,289701
1992,Virginia,"Clinton, Bill",1038650,"Bush, George H.W.",1150517,2559129
1992,Washington,"Clinton, Bill",993037,"Bush, George H.W.",731234,2287565
1992,West Virginia,"Clinton, Bill",331001,"Bush, George H.W.",241974,683677
1992,Wisconsin,"Clinton, Bill",1041066,"Bush, George H.W.",930855,2531064
1992,Wyoming,"Clinton, Bill",68160,"Bush, George H.W.",79347,199884
1996,Alabama,"Clinton, Bill",662165,"Dole, Robert",769044,1534349
1996,Alaska,"Clinton, Bill",80380,"Dole, Robert",122746,241620
1996,Arizona,"Clinton, Bill",653288,"Dole, Robert",622073,1404405
1996,Arkansas,"Clinton, Bill",475171,"Dole, Robert",325416,884262
1996,California,"Clinton, Bill",5119835,"Dole, Robert",3828381,10019469
1996,Colorado,"Clinton, Bill",671152,"Dole, Robert",691848,1510702
1996,Connecticut,"Clinton, Bill",735740,"Dole, Robert",483109,1392614
1996,Delaware,"Clinton, Bill",140355,"Dole, Robert",99062,270810
1996,District of Columbia,"Clinton, Bill",158220,"Dole, Robert",17339,185726
1996,Florida,"Clinton, Bill",2546870,"Dole, Robert",2244536,5303154
1996,Georgia,"Clinton, Bill",1053849,"Dole, Robert",1080843,2298899
1996,Hawaii,"Clinton, Bill",205012,"Dole, Robert",113943,360120
1996,Idaho,"Clinton, Bill",165443,"Dole, Robert",256595,491711
1996,Illinois,"Clinton, Bill",2341744,"Dole, Robert",1587021,4311391
1996,Indiana,"Clinton, Bill",887424,"Dole, Robert",1006693,2135431
1996,Iowa,"Clinton, Bill",620258,"Dole, Robert",492644,1234075
1996,Kansas,"Clinton, Bill",387659,"Dole, Robert",583245,1074300
1996,Kentucky,"Clinton, Bill",636614,"Dole, Robert",623283,1388708
1996,Louisiana,"Clinton, Bill",927837,"Dole, Robert",712586,1783959
1996,Maine,"Clinton, Bill",312788,"Dole, Robert",186378,605897
1996,Maryland,"Clinton, Bill",966207,"Dole, Robert",681530,1780870
1996,Massachusetts,"Clinton, Bill",1571509,"Dole, Robert",718058,2556459
1996,Michigan,"Clinton, Bill",1989653,"Dole, Robert",1481212,3848844
1996,Minnesota,"Clinton, Bill",1120380,"Dole, Robert",766395,2192492
1996,Mississippi,"Clinton, Bill",394022,"Dole, Robert",439838,893857
1996,Missouri,"Clinton, Bill",1025935,"Dole, Robert",890016,2158065
1996,Montana,"Clinton, Bill",167922,"Dole, Robert",179652,407083
1996,Nebraska,"Clinton, Bill",236761,"Dole, Robert",363467,677415
1996,Nevada,"Clinton, Bill",203974,"Dole, Robert",199244,464279
1996,New Hampshire,"Clinton, Bill",246166,"Dole, Robert",196486,496597
1996,New Jersey,"Clinton, Bill",1652361,"Dole, Robert",1103099,3075860
1996,New Mexico,"Clinton, Bill",273495,"Dole, Robert",232751,556074
1996,New York,"Clinton, Bill",3649630,"Dole, Robert",1738707,6439129
1996,North Carolina,"Clinton, Bill",1107849,"Dole, Robert",1225938,2515807
1996,North Dakota,"Clinton, Bill",106905,"Dole, Robert",125050,266411
1996,Ohio,"Clinton, Bill",2148222,"Dole, Robert",1859883,4534434
1996,Oklahoma,"Clinton, Bill",488105,"Dole, Robert",582315,1206713
1996,Oregon,"Clinton, Bill",649641,"Dole, Robert",538152,1377760
1996,Pennsylvania,"Clinton, Bill",2215819,"Dole, Robert",1801169,4501307
1996,Rhode Island,"Clinton, Bill",233050,"Dole, Robert",104683,390247
1996,South Carolina,"Clinton, Bill",506152,"Dole, Robert",573339,1150182
1996,South Dakota,"Clinton, Bill",139333,"Dole, Robert",150543,323826
1996,Tennessee,"Clinton, Bill",909146,"Dole, Robert",863530,1894105
1996,Texas,"Clinton, Bill",2459683,"Dole, Robert",2736167,5611644
1996,Utah,"Clinton, Bill",221633,"Dole, Robert",361911,665629
1996,Vermont,"Clinton, Bill",137894,"Dole, Robert",80352,258449
1996,Virginia,"Clinton, Bill",1091060,"Dole, Robert",1138350,2416642
1996,Washington,"Clinton, Bill",1123323,"Dole, Robert",840712,2253837
1996,West Virginia,"Clinton, Bill",327812,"Dole, Robert",233946,636459
1996,Wisconsin,"Clinton, Bill",1071971,"Dole, Robert",845029,2196169
1996,Wyoming,"Clinton, Bill",77934,"Dole, Robert",105388,211571
2000,Alabama,"Gore, Al",692611,"Bush, George W.",941173,1666272
